sample	mismatches	targets	observations	cut_rate	normalized_cut_rate
16hr+gDNA3	0	1	498	0.407631	1
16hr+gDNA3	1	63	1649	0.378411	0.928319
16hr+gDNA3	2	1492	4451	0.161986	0.397385
16hr+gDNA3	3	3981	4625	0.083243	0.204212
16hr+gDNA3	4	2528	2673	0.034418	0.084435
16hr+gDNA3	5	1045	1125	0.023111	0.056696
16hr+gDNA3	6	379	403	0.024814	0.060873
16hr+gDNA3	7	85	94	0	0
16hr+gDNA3	8	19	20	0.05	0.12266
16hr+gDNA3	9	4	4	0	0
16hr+gDNA3	10	0	0	0	0
16hr+gDNA3	11	1	1	0	0
16hr+gDNA3	12	13	15	0	0
16hr+gDNA3	13	65	81	0	0
16hr+gDNA3	14	188	289	0	0
16hr+gDNA3	15	251	614	0.006515	0.015982
16hr+gDNA3	16	182	275	0.003636	0.008921
16hr+gDNA3	17	36	43	0	0
16hr+gDNA3	18	3	3	0	0
16hr+gDNA3	19	1	1	0	0
