sample	mismatches	targets	observations	cut_rate	normalized_cut_rate
16hr-gDNA3	0	1	340	0.391176	1
16hr-gDNA3	1	63	1329	0.325056	0.830971
16hr-gDNA3	2	1308	3096	0.186047	0.475608
16hr-gDNA3	3	2913	3213	0.101463	0.259379
16hr-gDNA3	4	1840	1917	0.037037	0.094681
16hr-gDNA3	5	744	778	0.025707	0.065717
16hr-gDNA3	6	257	267	0.007491	0.019149
16hr-gDNA3	7	63	64	0.03125	0.079887
16hr-gDNA3	8	21	23	0	0
16hr-gDNA3	9	0	0	0	0
16hr-gDNA3	10	0	0	0	0
16hr-gDNA3	11	2	2	0	0
16hr-gDNA3	12	4	4	0	0
16hr-gDNA3	13	62	68	0	0
16hr-gDNA3	14	131	191	0	0
16hr-gDNA3	15	220	435	0	0
16hr-gDNA3	16	126	198	0	0
16hr-gDNA3	17	23	31	0	0
16hr-gDNA3	18	3	3	0	0
